Id,SalePrice
1461,132353.6821743287
1462,158664.8911287358
1463,184803.84518510202
1464,184216.0793800244
1465,181862.52536815457
1466,174042.9195362681
1467,173669.90665351728
1468,162414.82294021023
1469,182564.5729934589
1470,135027.97706021313
1471,201619.07228491176
1472,99494.88574857367
1473,99997.85770775833
1474,158257.4879803025
1475,138158.16885414056
1476,292184.2328088049
1477,229125.33790166207
1478,223697.07037941722
1479,245699.07471699314
1480,327915.2886730602
1481,268890.387080124
1482,187982.09261759528
1483,175022.99940705605
1484,173663.8824627523
1485,178479.89126812355
1486,201080.79933724515
1487,293745.4119520394
1488,226231.4522109091
1489,211948.81070676324
1490,208145.9744314103
1491,186582.91287549364
1492,94386.4670832595
1493,184698.03932064626
1494,282552.356020288
1495,271375.05274201685
1496,214264.48973582205
1497,184676.07478894282
1498,163675.2517362426
1499,161385.51219739328
1500,146003.96204923975
1501,177823.37170531863
1502,157306.36060960672
1503,264863.6064561283
1504,226149.03570185075
1505,225346.37226492658
1506,181230.46950560037
1507,235723.6324470453
1508,201186.63483078373
1509,159089.0999253861
1510,149250.12595640955
1511,144672.61417697163
1512,179658.91864369743
1513,161897.2709273999
1514,167994.61933783043
1515,208478.3243589295
1516,174137.87736063538
1517,152103.524869268
1518,130432.70828085706
1519,224108.68392267424
1520,133756.79245720975
1521,137623.58277669107
1522,168541.7300506327
1523,111501.27014534218
1524,128707.41443396272
1525,128992.27659051765
1526,127603.67859332226
1527,115863.81963570902
1528,128776.2162910475
1529,146441.34784324816
1530,160483.10885612576
1531,96920.18840679983
1532,105625.5893964787
1533,164390.8711742119
1534,116216.59807001958
1535,160390.88916744935
1536,107449.9316983223
1537,80646.86707715657
1538,170676.28131540766
1539,217026.16593463824
1540,97711.45630857168
1541,145380.7181620885
1542,137697.05524464947
1543,221190.02922181232
1544,91036.00557762681
1545,101059.0599055549
1546,124217.27137308067
1547,122886.4969764219
1548,124889.12590471932
1549,116083.1841132984
1550,152107.24725398098
1551,110830.21996934047
1552,140792.03043861125
1553,151202.72568261196
1554,109370.53539972135
1555,170116.39602683164
1556,76263.7978680021
1557,121517.82698475609
1558,98664.5658047717
1559,96360.90727657812
1560,151152.16911041143
1561,138720.90013512407
1562,131710.55046335357
1563,128718.45041473529
1564,156484.67097799177
1565,152207.84963883553
1566,229257.81410700272
1567,83070.54313428789
1568,225911.64838883193
1569,166667.01977754952
1570,134173.32608143726
1571,141369.32237224505
1572,153048.2829178471
1573,241627.53904425135
1574,114531.06940845143
1575,225972.16603272647
1576,222988.8239665483
1577,198084.40107849656
1578,155286.94376345008
1579,147018.50883539562
1580,180894.3073527544
1581,146897.86603395815
1582,130486.57159168081
1583,277666.7169718006
1584,237844.47872584517
1585,140519.0089032551
1586,86050.19973064197
1587,92356.88225258132
1588,144840.19610863223
1589,105144.79536441999
1590,138841.0562070985
1591,99850.47614844216
1592,132851.2971563136
1593,131927.81846882508
1594,120798.64891468713
